Memory Length4000;;;;;;;
Trigger Level0.000E+00;;;;;;;
SourceCH1;;;;;;;
Probe1X;;;;;;;
Vertical UnitsV;;;;;;;
Vertical Scale;1.00E+00;;;;;;
Vertical Position;-4.00E-02;;;;;;
Horizontal Unitss;;;;;;;
Horizontal Scale5.000E-02;;;;;;;
Horizontal Position0.000E+00;;;;;;;
Horizontal ModeRoll Mode;;;;;;;
Sampling Period;2.00E-04;;;;;;
FirmwareV1.12;;;;;;;
Time ;;Escalas de tiempo;Tiempo(s);Waveform Data Ch1;Ch1 (V);Waveform Data Ch1;Ch2 (V)
ModeFast;;;;;;;
Waveform Data;;;;;;;
20;;430;8.60E-02;8.00E-01;3.20E-02;;
20;;431;8.62E-02;8.00E-01;3.20E-02;;
20;;432;8.64E-02;8.00E-01;3.20E-02;;
20;;433;8.66E-02;8.00E-01;3.20E-02;;
19;;434;8.68E-02;7.60E-01;3.04E-02;;
20;;435;8.70E-02;8.00E-01;3.20E-02;;
20;;436;8.72E-02;8.00E-01;3.20E-02;;
19;;437;8.74E-02;7.60E-01;3.04E-02;;
19;;438;8.76E-02;7.60E-01;3.04E-02;;
19;;439;8.78E-02;7.60E-01;3.04E-02;;
19;;440;8.80E-02;7.60E-01;3.04E-02;;
19;;441;8.82E-02;7.60E-01;3.04E-02;;
19;;442;8.84E-02;7.60E-01;3.04E-02;;
19;;443;8.86E-02;7.60E-01;3.04E-02;;
18;;444;8.88E-02;7.20E-01;2.88E-02;;
19;;445;8.90E-02;7.60E-01;3.04E-02;;
18;;446;8.92E-02;7.20E-01;2.88E-02;;
19;;447;8.94E-02;7.60E-01;3.04E-02;;
19;;448;8.96E-02;7.60E-01;3.04E-02;;
19;;449;8.98E-02;7.60E-01;3.04E-02;;
19;;450;9.00E-02;7.60E-01;3.04E-02;;
19;;451;9.02E-02;7.60E-01;3.04E-02;;
18;;452;9.04E-02;7.20E-01;2.88E-02;;
18;;453;9.06E-02;7.20E-01;2.88E-02;;
18;;454;9.08E-02;7.20E-01;2.88E-02;;
18;;455;9.10E-02;7.20E-01;2.88E-02;;
17;;456;9.12E-02;6.80E-01;2.72E-02;;
18;;457;9.14E-02;7.20E-01;2.88E-02;;
18;;458;9.16E-02;7.20E-01;2.88E-02;;
18;;459;9.18E-02;7.20E-01;2.88E-02;;
17;;460;9.20E-02;6.80E-01;2.72E-02;;
17;;461;9.22E-02;6.80E-01;2.72E-02;;
17;;462;9.24E-02;6.80E-01;2.72E-02;;
18;;463;9.26E-02;7.20E-01;2.88E-02;;
17;;464;9.28E-02;6.80E-01;2.72E-02;;
17;;465;9.30E-02;6.80E-01;2.72E-02;;
18;;466;9.32E-02;7.20E-01;2.88E-02;;
16;;467;9.34E-02;6.40E-01;2.56E-02;;
16;;468;9.36E-02;6.40E-01;2.56E-02;;
17;;469;9.38E-02;6.80E-01;2.72E-02;;
16;;470;9.40E-02;6.40E-01;2.56E-02;;
16;;471;9.42E-02;6.40E-01;2.56E-02;;
17;;472;9.44E-02;6.80E-01;2.72E-02;;
17;;473;9.46E-02;6.80E-01;2.72E-02;;
16;;474;9.48E-02;6.40E-01;2.56E-02;;
16;;475;9.50E-02;6.40E-01;2.56E-02;;
17;;476;9.52E-02;6.80E-01;2.72E-02;;
16;;477;9.54E-02;6.40E-01;2.56E-02;;
16;;478;9.56E-02;6.40E-01;2.56E-02;;
16;;479;9.58E-02;6.40E-01;2.56E-02;;
16;;480;9.60E-02;6.40E-01;2.56E-02;;
16;;481;9.62E-02;6.40E-01;2.56E-02;;
16;;482;9.64E-02;6.40E-01;2.56E-02;;
16;;483;9.66E-02;6.40E-01;2.56E-02;;
15;;484;9.68E-02;6.00E-01;2.40E-02;;
15;;485;9.70E-02;6.00E-01;2.40E-02;;
16;;486;9.72E-02;6.40E-01;2.56E-02;;
16;;487;9.74E-02;6.40E-01;2.56E-02;;
15;;488;9.76E-02;6.00E-01;2.40E-02;;
16;;489;9.78E-02;6.40E-01;2.56E-02;;
16;;490;9.80E-02;6.40E-01;2.56E-02;;
16;;491;9.82E-02;6.40E-01;2.56E-02;;
15;;492;9.84E-02;6.00E-01;2.40E-02;;
15;;493;9.86E-02;6.00E-01;2.40E-02;;
14;;494;9.88E-02;5.60E-01;2.24E-02;;
15;;495;9.90E-02;6.00E-01;2.40E-02;;
14;;496;9.92E-02;5.60E-01;2.24E-02;;
15;;497;9.94E-02;6.00E-01;2.40E-02;;
14;;498;9.96E-02;5.60E-01;2.24E-02;;
15;;499;9.98E-02;6.00E-01;2.40E-02;;
15;;500;1.00E-01;6.00E-01;2.40E-02;;
15;;501;1.00E-01;6.00E-01;2.40E-02;;
14;;502;1.00E-01;5.60E-01;2.24E-02;;
13;;503;1.01E-01;5.20E-01;2.08E-02;;
14;;504;1.01E-01;5.60E-01;2.24E-02;;
15;;505;1.01E-01;6.00E-01;2.40E-02;;
14;;506;1.01E-01;5.60E-01;2.24E-02;;
14;;507;1.01E-01;5.60E-01;2.24E-02;;
14;;508;1.02E-01;5.60E-01;2.24E-02;;
13;;509;1.02E-01;5.20E-01;2.08E-02;;
13;;510;1.02E-01;5.20E-01;2.08E-02;;
13;;511;1.02E-01;5.20E-01;2.08E-02;;
13;;512;1.02E-01;5.20E-01;2.08E-02;;
13;;513;1.03E-01;5.20E-01;2.08E-02;;
13;;514;1.03E-01;5.20E-01;2.08E-02;;
13;;515;1.03E-01;5.20E-01;2.08E-02;;
13;;516;1.03E-01;5.20E-01;2.08E-02;;
13;;517;1.03E-01;5.20E-01;2.08E-02;;
13;;518;1.04E-01;5.20E-01;2.08E-02;;
13;;519;1.04E-01;5.20E-01;2.08E-02;;
13;;520;1.04E-01;5.20E-01;2.08E-02;;
12;;521;1.04E-01;4.80E-01;1.92E-02;;
13;;522;1.04E-01;5.20E-01;2.08E-02;;
12;;523;1.05E-01;4.80E-01;1.92E-02;;
12;;524;1.05E-01;4.80E-01;1.92E-02;;
13;;525;1.05E-01;5.20E-01;2.08E-02;;
12;;526;1.05E-01;4.80E-01;1.92E-02;;
12;;527;1.05E-01;4.80E-01;1.92E-02;;
12;;528;1.06E-01;4.80E-01;1.92E-02;;
11;;529;1.06E-01;4.40E-01;1.76E-02;;
12;;530;1.06E-01;4.80E-01;1.92E-02;;
12;;531;1.06E-01;4.80E-01;1.92E-02;;
12;;532;1.06E-01;4.80E-01;1.92E-02;;
12;;533;1.07E-01;4.80E-01;1.92E-02;;
11;;534;1.07E-01;4.40E-01;1.76E-02;;
12;;535;1.07E-01;4.80E-01;1.92E-02;;
12;;536;1.07E-01;4.80E-01;1.92E-02;;
12;;537;1.07E-01;4.80E-01;1.92E-02;;
12;;538;1.08E-01;4.80E-01;1.92E-02;;
12;;539;1.08E-01;4.80E-01;1.92E-02;;
11;;540;1.08E-01;4.40E-01;1.76E-02;;
12;;541;1.08E-01;4.80E-01;1.92E-02;;
11;;542;1.08E-01;4.40E-01;1.76E-02;;
11;;543;1.09E-01;4.40E-01;1.76E-02;;
11;;544;1.09E-01;4.40E-01;1.76E-02;;
11;;545;1.09E-01;4.40E-01;1.76E-02;;
11;;546;1.09E-01;4.40E-01;1.76E-02;;
11;;547;1.09E-01;4.40E-01;1.76E-02;;
11;;548;1.10E-01;4.40E-01;1.76E-02;;
11;;549;1.10E-01;4.40E-01;1.76E-02;;
11;;550;1.10E-01;4.40E-01;1.76E-02;;
11;;551;1.10E-01;4.40E-01;1.76E-02;;
10;;552;1.10E-01;4.00E-01;1.60E-02;;
10;;553;1.11E-01;4.00E-01;1.60E-02;;
10;;554;1.11E-01;4.00E-01;1.60E-02;;
10;;555;1.11E-01;4.00E-01;1.60E-02;;
10;;556;1.11E-01;4.00E-01;1.60E-02;;
10;;557;1.11E-01;4.00E-01;1.60E-02;;
10;;558;1.12E-01;4.00E-01;1.60E-02;;
10;;559;1.12E-01;4.00E-01;1.60E-02;;
10;;560;1.12E-01;4.00E-01;1.60E-02;;
10;;561;1.12E-01;4.00E-01;1.60E-02;;
10;;562;1.12E-01;4.00E-01;1.60E-02;;
9;;563;1.13E-01;3.60E-01;1.44E-02;;
8;;564;1.13E-01;3.20E-01;1.28E-02;;
9;;565;1.13E-01;3.60E-01;1.44E-02;;
9;;566;1.13E-01;3.60E-01;1.44E-02;;
9;;567;1.13E-01;3.60E-01;1.44E-02;;
9;;568;1.14E-01;3.60E-01;1.44E-02;;
9;;569;1.14E-01;3.60E-01;1.44E-02;;
9;;570;1.14E-01;3.60E-01;1.44E-02;;
9;;571;1.14E-01;3.60E-01;1.44E-02;;
8;;572;1.14E-01;3.20E-01;1.28E-02;;
9;;573;1.15E-01;3.60E-01;1.44E-02;;
8;;574;1.15E-01;3.20E-01;1.28E-02;;
9;;575;1.15E-01;3.60E-01;1.44E-02;;
9;;576;1.15E-01;3.60E-01;1.44E-02;;
9;;577;1.15E-01;3.60E-01;1.44E-02;;
8;;578;1.16E-01;3.20E-01;1.28E-02;;
8;;579;1.16E-01;3.20E-01;1.28E-02;;
9;;580;1.16E-01;3.60E-01;1.44E-02;;
8;;581;1.16E-01;3.20E-01;1.28E-02;;
8;;582;1.16E-01;3.20E-01;1.28E-02;;
8;;583;1.17E-01;3.20E-01;1.28E-02;;
8;;584;1.17E-01;3.20E-01;1.28E-02;;
8;;585;1.17E-01;3.20E-01;1.28E-02;;
8;;586;1.17E-01;3.20E-01;1.28E-02;;
8;;587;1.17E-01;3.20E-01;1.28E-02;;
8;;588;1.18E-01;3.20E-01;1.28E-02;;
7;;589;1.18E-01;2.80E-01;1.12E-02;;
8;;590;1.18E-01;3.20E-01;1.28E-02;;
8;;591;1.18E-01;3.20E-01;1.28E-02;;
8;;592;1.18E-01;3.20E-01;1.28E-02;;
7;;593;1.19E-01;2.80E-01;1.12E-02;;
7;;594;1.19E-01;2.80E-01;1.12E-02;;
7;;595;1.19E-01;2.80E-01;1.12E-02;;
7;;596;1.19E-01;2.80E-01;1.12E-02;;
7;;597;1.19E-01;2.80E-01;1.12E-02;;
7;;598;1.20E-01;2.80E-01;1.12E-02;;
7;;599;1.20E-01;2.80E-01;1.12E-02;;
6;;600;1.20E-01;2.40E-01;9.60E-03;;
8;;601;1.20E-01;3.20E-01;1.28E-02;;
7;;602;1.20E-01;2.80E-01;1.12E-02;;
7;;603;1.21E-01;2.80E-01;1.12E-02;;
6;;604;1.21E-01;2.40E-01;9.60E-03;;
7;;605;1.21E-01;2.80E-01;1.12E-02;;
6;;606;1.21E-01;2.40E-01;9.60E-03;;
7;;607;1.21E-01;2.80E-01;1.12E-02;;
7;;608;1.22E-01;2.80E-01;1.12E-02;;
6;;609;1.22E-01;2.40E-01;9.60E-03;;
6;;610;1.22E-01;2.40E-01;9.60E-03;;
6;;611;1.22E-01;2.40E-01;9.60E-03;;
6;;612;1.22E-01;2.40E-01;9.60E-03;;
6;;613;1.23E-01;2.40E-01;9.60E-03;;
6;;614;1.23E-01;2.40E-01;9.60E-03;;
6;;615;1.23E-01;2.40E-01;9.60E-03;;
6;;616;1.23E-01;2.40E-01;9.60E-03;;
6;;617;1.23E-01;2.40E-01;9.60E-03;;
6;;618;1.24E-01;2.40E-01;9.60E-03;;
5;;619;1.24E-01;2.00E-01;8.00E-03;;
5;;620;1.24E-01;2.00E-01;8.00E-03;;
5;;621;1.24E-01;2.00E-01;8.00E-03;;
5;;622;1.24E-01;2.00E-01;8.00E-03;;
5;;623;1.25E-01;2.00E-01;8.00E-03;;
5;;624;1.25E-01;2.00E-01;8.00E-03;;
5;;625;1.25E-01;2.00E-01;8.00E-03;;
5;;626;1.25E-01;2.00E-01;8.00E-03;;
5;;627;1.25E-01;2.00E-01;8.00E-03;;
5;;628;1.26E-01;2.00E-01;8.00E-03;;
5;;629;1.26E-01;2.00E-01;8.00E-03;;
5;;630;1.26E-01;2.00E-01;8.00E-03;;
5;;631;1.26E-01;2.00E-01;8.00E-03;;
5;;632;1.26E-01;2.00E-01;8.00E-03;;
4;;633;1.27E-01;1.60E-01;6.40E-03;;
4;;634;1.27E-01;1.60E-01;6.40E-03;;
5;;635;1.27E-01;2.00E-01;8.00E-03;;
5;;636;1.27E-01;2.00E-01;8.00E-03;;
4;;637;1.27E-01;1.60E-01;6.40E-03;;
4;;638;1.28E-01;1.60E-01;6.40E-03;;
4;;639;1.28E-01;1.60E-01;6.40E-03;;
4;;640;1.28E-01;1.60E-01;6.40E-03;;
4;;641;1.28E-01;1.60E-01;6.40E-03;;
4;;642;1.28E-01;1.60E-01;6.40E-03;;
4;;643;1.29E-01;1.60E-01;6.40E-03;;
4;;644;1.29E-01;1.60E-01;6.40E-03;;
4;;645;1.29E-01;1.60E-01;6.40E-03;;
4;;646;1.29E-01;1.60E-01;6.40E-03;;
4;;647;1.29E-01;1.60E-01;6.40E-03;;
4;;648;1.30E-01;1.60E-01;6.40E-03;;
4;;649;1.30E-01;1.60E-01;6.40E-03;;
4;;650;1.30E-01;1.60E-01;6.40E-03;;
4;;651;1.30E-01;1.60E-01;6.40E-03;;
4;;652;1.30E-01;1.60E-01;6.40E-03;;
3;;653;1.31E-01;1.20E-01;4.80E-03;;
3;;654;1.31E-01;1.20E-01;4.80E-03;;
4;;655;1.31E-01;1.60E-01;6.40E-03;;
3;;656;1.31E-01;1.20E-01;4.80E-03;;
4;;657;1.31E-01;1.60E-01;6.40E-03;;
3;;658;1.32E-01;1.20E-01;4.80E-03;;
3;;659;1.32E-01;1.20E-01;4.80E-03;;
3;;660;1.32E-01;1.20E-01;4.80E-03;;
3;;661;1.32E-01;1.20E-01;4.80E-03;;
4;;662;1.32E-01;1.60E-01;6.40E-03;;
3;;663;1.33E-01;1.20E-01;4.80E-03;;
3;;664;1.33E-01;1.20E-01;4.80E-03;;
3;;665;1.33E-01;1.20E-01;4.80E-03;;
3;;666;1.33E-01;1.20E-01;4.80E-03;;
3;;667;1.33E-01;1.20E-01;4.80E-03;;
3;;668;1.34E-01;1.20E-01;4.80E-03;;
3;;669;1.34E-01;1.20E-01;4.80E-03;;
3;;670;1.34E-01;1.20E-01;4.80E-03;;
3;;671;1.34E-01;1.20E-01;4.80E-03;;
3;;672;1.34E-01;1.20E-01;4.80E-03;;
3;;673;1.35E-01;1.20E-01;4.80E-03;;
3;;674;1.35E-01;1.20E-01;4.80E-03;;
3;;675;1.35E-01;1.20E-01;4.80E-03;;
2;;676;1.35E-01;8.00E-02;3.20E-03;;
2;;677;1.35E-01;8.00E-02;3.20E-03;;
2;;678;1.36E-01;8.00E-02;3.20E-03;;
2;;679;1.36E-01;8.00E-02;3.20E-03;;
3;;680;1.36E-01;1.20E-01;4.80E-03;;
3;;681;1.36E-01;1.20E-01;4.80E-03;;
2;;682;1.36E-01;8.00E-02;3.20E-03;;
2;;683;1.37E-01;8.00E-02;3.20E-03;;
2;;684;1.37E-01;8.00E-02;3.20E-03;;
2;;685;1.37E-01;8.00E-02;3.20E-03;;
2;;686;1.37E-01;8.00E-02;3.20E-03;;
3;;687;1.37E-01;1.20E-01;4.80E-03;;
2;;688;1.38E-01;8.00E-02;3.20E-03;;
2;;689;1.38E-01;8.00E-02;3.20E-03;;
2;;690;1.38E-01;8.00E-02;3.20E-03;;
1;;691;1.38E-01;4.00E-02;1.60E-03;;
2;;692;1.38E-01;8.00E-02;3.20E-03;;
3;;693;1.39E-01;1.20E-01;4.80E-03;;
2;;694;1.39E-01;8.00E-02;3.20E-03;;
2;;695;1.39E-01;8.00E-02;3.20E-03;;
2;;696;1.39E-01;8.00E-02;3.20E-03;;
2;;697;1.39E-01;8.00E-02;3.20E-03;;
2;;698;1.40E-01;8.00E-02;3.20E-03;;
2;;699;1.40E-01;8.00E-02;3.20E-03;;
2;;700;1.40E-01;8.00E-02;3.20E-03;;
1;;701;1.40E-01;4.00E-02;1.60E-03;;
2;;702;1.40E-01;8.00E-02;3.20E-03;;
2;;703;1.41E-01;8.00E-02;3.20E-03;;
1;;704;1.41E-01;4.00E-02;1.60E-03;;
1;;705;1.41E-01;4.00E-02;1.60E-03;;
1;;706;1.41E-01;4.00E-02;1.60E-03;;
1;;707;1.41E-01;4.00E-02;1.60E-03;;
1;;708;1.42E-01;4.00E-02;1.60E-03;;
2;;709;1.42E-01;8.00E-02;3.20E-03;;
1;;710;1.42E-01;4.00E-02;1.60E-03;;
1;;711;1.42E-01;4.00E-02;1.60E-03;;
0;;712;1.42E-01;0.00E+00;0.00E+00;;
1;;713;1.43E-01;4.00E-02;1.60E-03;;
1;;714;1.43E-01;4.00E-02;1.60E-03;;
1;;715;1.43E-01;4.00E-02;1.60E-03;;
2;;716;1.43E-01;8.00E-02;3.20E-03;;
1;;717;1.43E-01;4.00E-02;1.60E-03;;
0;;718;1.44E-01;0.00E+00;0.00E+00;;
1;;719;1.44E-01;4.00E-02;1.60E-03;;
1;;720;1.44E-01;4.00E-02;1.60E-03;;
1;;721;1.44E-01;4.00E-02;1.60E-03;;
1;;722;1.44E-01;4.00E-02;1.60E-03;;
1;;723;1.45E-01;4.00E-02;1.60E-03;;
1;;724;1.45E-01;4.00E-02;1.60E-03;;
2;;725;1.45E-01;8.00E-02;3.20E-03;;
1;;726;1.45E-01;4.00E-02;1.60E-03;;
1;;727;1.45E-01;4.00E-02;1.60E-03;;
0;;728;1.46E-01;0.00E+00;0.00E+00;;
1;;729;1.46E-01;4.00E-02;1.60E-03;;
0;;730;1.46E-01;0.00E+00;0.00E+00;;
0;;731;1.46E-01;0.00E+00;0.00E+00;;
0;;732;1.46E-01;0.00E+00;0.00E+00;;
0;;733;1.47E-01;0.00E+00;0.00E+00;;
1;;734;1.47E-01;4.00E-02;1.60E-03;;
0;;735;1.47E-01;0.00E+00;0.00E+00;;
0;;736;1.47E-01;0.00E+00;0.00E+00;;
0;;737;1.47E-01;0.00E+00;0.00E+00;;
1;;738;1.48E-01;4.00E-02;1.60E-03;;
0;;739;1.48E-01;0.00E+00;0.00E+00;;
1;;740;1.48E-01;4.00E-02;1.60E-03;;
1;;741;1.48E-01;4.00E-02;1.60E-03;;
0;;742;1.48E-01;0.00E+00;0.00E+00;;
0;;743;1.49E-01;0.00E+00;0.00E+00;;
0;;744;1.49E-01;0.00E+00;0.00E+00;;
0;;745;1.49E-01;0.00E+00;0.00E+00;;
0;;746;1.49E-01;0.00E+00;0.00E+00;;
1;;747;1.49E-01;4.00E-02;1.60E-03;;
1;;748;1.50E-01;4.00E-02;1.60E-03;;
0;;749;1.50E-01;0.00E+00;0.00E+00;;
0;;750;1.50E-01;0.00E+00;0.00E+00;;
0;;751;1.50E-01;0.00E+00;0.00E+00;;
0;;752;1.50E-01;0.00E+00;0.00E+00;;
0;;753;1.51E-01;0.00E+00;0.00E+00;;
1;;754;1.51E-01;4.00E-02;1.60E-03;;
1;;755;1.51E-01;4.00E-02;1.60E-03;;
0;;756;1.51E-01;0.00E+00;0.00E+00;;
0;;757;1.51E-01;0.00E+00;0.00E+00;;
0;;758;1.52E-01;0.00E+00;0.00E+00;;
0;;759;1.52E-01;0.00E+00;0.00E+00;;
1;;760;1.52E-01;4.00E-02;1.60E-03;;
0;;761;1.52E-01;0.00E+00;0.00E+00;;
0;;762;1.52E-01;0.00E+00;0.00E+00;;
0;;763;1.53E-01;0.00E+00;0.00E+00;;
1;;764;1.53E-01;4.00E-02;1.60E-03;;
1;;765;1.53E-01;4.00E-02;1.60E-03;;
0;;766;1.53E-01;0.00E+00;0.00E+00;;
0;;767;1.53E-01;0.00E+00;0.00E+00;;
0;;768;1.54E-01;0.00E+00;0.00E+00;;
0;;769;1.54E-01;0.00E+00;0.00E+00;;
0;;770;1.54E-01;0.00E+00;0.00E+00;;
0;;771;1.54E-01;0.00E+00;0.00E+00;;
0;;772;1.54E-01;0.00E+00;0.00E+00;;
0;;773;1.55E-01;0.00E+00;0.00E+00;;
1;;774;1.55E-01;4.00E-02;1.60E-03;;
0;;775;1.55E-01;0.00E+00;0.00E+00;;
0;;776;1.55E-01;0.00E+00;0.00E+00;;
0;;777;1.55E-01;0.00E+00;0.00E+00;;
0;;778;1.56E-01;0.00E+00;0.00E+00;;
0;;779;1.56E-01;0.00E+00;0.00E+00;;
1;;780;1.56E-01;4.00E-02;1.60E-03;;
1;;781;1.56E-01;4.00E-02;1.60E-03;;
1;;782;1.56E-01;4.00E-02;1.60E-03;;
0;;783;1.57E-01;0.00E+00;0.00E+00;;
0;;784;1.57E-01;0.00E+00;0.00E+00;;
0;;785;1.57E-01;0.00E+00;0.00E+00;;
0;;786;1.57E-01;0.00E+00;0.00E+00;;
0;;787;1.57E-01;0.00E+00;0.00E+00;;
0;;788;1.58E-01;0.00E+00;0.00E+00;;
0;;789;1.58E-01;0.00E+00;0.00E+00;;
0;;790;1.58E-01;0.00E+00;0.00E+00;;
1;;791;1.58E-01;4.00E-02;1.60E-03;;
0;;792;1.58E-01;0.00E+00;0.00E+00;;
0;;793;1.59E-01;0.00E+00;0.00E+00;;
1;;794;1.59E-01;4.00E-02;1.60E-03;;
0;;795;1.59E-01;0.00E+00;0.00E+00;;
1;;796;1.59E-01;4.00E-02;1.60E-03;;
1;;797;1.59E-01;4.00E-02;1.60E-03;;
1;;798;1.60E-01;4.00E-02;1.60E-03;;
0;;799;1.60E-01;0.00E+00;0.00E+00;;
1;;800;1.60E-01;4.00E-02;1.60E-03;;
0;;801;1.60E-01;0.00E+00;0.00E+00;;
0;;802;1.60E-01;0.00E+00;0.00E+00;;
1;;803;1.61E-01;4.00E-02;1.60E-03;;
0;;804;1.61E-01;0.00E+00;0.00E+00;;
0;;805;1.61E-01;0.00E+00;0.00E+00;;
1;;806;1.61E-01;4.00E-02;1.60E-03;;
1;;807;1.61E-01;4.00E-02;1.60E-03;;
1;;808;1.62E-01;4.00E-02;1.60E-03;;
1;;809;1.62E-01;4.00E-02;1.60E-03;;
0;;810;1.62E-01;0.00E+00;0.00E+00;;
1;;811;1.62E-01;4.00E-02;1.60E-03;;
1;;812;1.62E-01;4.00E-02;1.60E-03;;
1;;813;1.63E-01;4.00E-02;1.60E-03;;
1;;814;1.63E-01;4.00E-02;1.60E-03;;
1;;815;1.63E-01;4.00E-02;1.60E-03;;
1;;816;1.63E-01;4.00E-02;1.60E-03;;
1;;817;1.63E-01;4.00E-02;1.60E-03;;
1;;818;1.64E-01;4.00E-02;1.60E-03;;
1;;819;1.64E-01;4.00E-02;1.60E-03;;
1;;820;1.64E-01;4.00E-02;1.60E-03;;
1;;821;1.64E-01;4.00E-02;1.60E-03;;
0;;822;1.64E-01;0.00E+00;0.00E+00;;
1;;823;1.65E-01;4.00E-02;1.60E-03;;
1;;824;1.65E-01;4.00E-02;1.60E-03;;
1;;825;1.65E-01;4.00E-02;1.60E-03;;
1;;826;1.65E-01;4.00E-02;1.60E-03;;
1;;827;1.65E-01;4.00E-02;1.60E-03;;
1;;828;1.66E-01;4.00E-02;1.60E-03;;
2;;829;1.66E-01;8.00E-02;3.20E-03;;
2;;830;1.66E-01;8.00E-02;3.20E-03;;
2;;831;1.66E-01;8.00E-02;3.20E-03;;
1;;832;1.66E-01;4.00E-02;1.60E-03;;
1;;833;1.67E-01;4.00E-02;1.60E-03;;
1;;834;1.67E-01;4.00E-02;1.60E-03;;
2;;835;1.67E-01;8.00E-02;3.20E-03;;
1;;836;1.67E-01;4.00E-02;1.60E-03;;
2;;837;1.67E-01;8.00E-02;3.20E-03;;
1;;838;1.68E-01;4.00E-02;1.60E-03;;
2;;839;1.68E-01;8.00E-02;3.20E-03;;
2;;840;1.68E-01;8.00E-02;3.20E-03;;
2;;841;1.68E-01;8.00E-02;3.20E-03;;
2;;842;1.68E-01;8.00E-02;3.20E-03;;
2;;843;1.69E-01;8.00E-02;3.20E-03;;
2;;844;1.69E-01;8.00E-02;3.20E-03;;
2;;845;1.69E-01;8.00E-02;3.20E-03;;
2;;846;1.69E-01;8.00E-02;3.20E-03;;
2;;847;1.69E-01;8.00E-02;3.20E-03;;
3;;848;1.70E-01;1.20E-01;4.80E-03;;
2;;849;1.70E-01;8.00E-02;3.20E-03;;
2;;850;1.70E-01;8.00E-02;3.20E-03;;
2;;851;1.70E-01;8.00E-02;3.20E-03;;
2;;852;1.70E-01;8.00E-02;3.20E-03;;
2;;853;1.71E-01;8.00E-02;3.20E-03;;
3;;854;1.71E-01;1.20E-01;4.80E-03;;
2;;855;1.71E-01;8.00E-02;3.20E-03;;
2;;856;1.71E-01;8.00E-02;3.20E-03;;
2;;857;1.71E-01;8.00E-02;3.20E-03;;
2;;858;1.72E-01;8.00E-02;3.20E-03;;
3;;859;1.72E-01;1.20E-01;4.80E-03;;
3;;860;1.72E-01;1.20E-01;4.80E-03;;
3;;861;1.72E-01;1.20E-01;4.80E-03;;
2;;862;1.72E-01;8.00E-02;3.20E-03;;
2;;863;1.73E-01;8.00E-02;3.20E-03;;
3;;864;1.73E-01;1.20E-01;4.80E-03;;
2;;865;1.73E-01;8.00E-02;3.20E-03;;
3;;866;1.73E-01;1.20E-01;4.80E-03;;
3;;867;1.73E-01;1.20E-01;4.80E-03;;
3;;868;1.74E-01;1.20E-01;4.80E-03;;
3;;869;1.74E-01;1.20E-01;4.80E-03;;
3;;870;1.74E-01;1.20E-01;4.80E-03;;
3;;871;1.74E-01;1.20E-01;4.80E-03;;
3;;872;1.74E-01;1.20E-01;4.80E-03;;
2;;873;1.75E-01;8.00E-02;3.20E-03;;
3;;874;1.75E-01;1.20E-01;4.80E-03;;
3;;875;1.75E-01;1.20E-01;4.80E-03;;
3;;876;1.75E-01;1.20E-01;4.80E-03;;
3;;877;1.75E-01;1.20E-01;4.80E-03;;
3;;878;1.76E-01;1.20E-01;4.80E-03;;
3;;879;1.76E-01;1.20E-01;4.80E-03;;
4;;880;1.76E-01;1.60E-01;6.40E-03;;
3;;881;1.76E-01;1.20E-01;4.80E-03;;
4;;882;1.76E-01;1.60E-01;6.40E-03;;
4;;883;1.77E-01;1.60E-01;6.40E-03;;
4;;884;1.77E-01;1.60E-01;6.40E-03;;
4;;885;1.77E-01;1.60E-01;6.40E-03;;
4;;886;1.77E-01;1.60E-01;6.40E-03;;
4;;887;1.77E-01;1.60E-01;6.40E-03;;
4;;888;1.78E-01;1.60E-01;6.40E-03;;
4;;889;1.78E-01;1.60E-01;6.40E-03;;
4;;890;1.78E-01;1.60E-01;6.40E-03;;
4;;891;1.78E-01;1.60E-01;6.40E-03;;
4;;892;1.78E-01;1.60E-01;6.40E-03;;
4;;893;1.79E-01;1.60E-01;6.40E-03;;
4;;894;1.79E-01;1.60E-01;6.40E-03;;
4;;895;1.79E-01;1.60E-01;6.40E-03;;
4;;896;1.79E-01;1.60E-01;6.40E-03;;
4;;897;1.79E-01;1.60E-01;6.40E-03;;
4;;898;1.80E-01;1.60E-01;6.40E-03;;
4;;899;1.80E-01;1.60E-01;6.40E-03;;
4;;900;1.80E-01;1.60E-01;6.40E-03;;
4;;901;1.80E-01;1.60E-01;6.40E-03;;
4;;902;1.80E-01;1.60E-01;6.40E-03;;
4;;903;1.81E-01;1.60E-01;6.40E-03;;
4;;904;1.81E-01;1.60E-01;6.40E-03;;
4;;905;1.81E-01;1.60E-01;6.40E-03;;
5;;906;1.81E-01;2.00E-01;8.00E-03;;
5;;907;1.81E-01;2.00E-01;8.00E-03;;
5;;908;1.82E-01;2.00E-01;8.00E-03;;
5;;909;1.82E-01;2.00E-01;8.00E-03;;
5;;910;1.82E-01;2.00E-01;8.00E-03;;
5;;911;1.82E-01;2.00E-01;8.00E-03;;
5;;912;1.82E-01;2.00E-01;8.00E-03;;
6;;913;1.83E-01;2.40E-01;9.60E-03;;
5;;914;1.83E-01;2.00E-01;8.00E-03;;
5;;915;1.83E-01;2.00E-01;8.00E-03;;
6;;916;1.83E-01;2.40E-01;9.60E-03;;
6;;917;1.83E-01;2.40E-01;9.60E-03;;
