Memory Length4000;;;;;;;
Trigger Level0.000E+00;;;;;;;
SourceCH1;;;;;;;
Probe1X;;;;;;;
Vertical UnitsV;;;;;;;
Vertical Scale;1.00E+00;;;;;;
Vertical Position;-4.00E-02;;;;;;
Horizontal Unitss;;;;;;;
Horizontal Scale5.000E-02;;;;;;;
Horizontal Position0.000E+00;;;;;;;
Horizontal ModeRoll Mode;;;;;;;
Sampling Period;2.00E-04;;;;;;
FirmwareV1.12;;;;;;;
Time ;;Escalas de tiempo;Tiempo(s);Waveform Data Ch1;Ch1 (V);Waveform Data Ch1;Ch2 (V)
ModeFast;;;;;;;
Waveform Data;;;;;;;
19;;103;2.06E-02;7.60E-01;3.04E-02;;
19;;104;2.08E-02;7.60E-01;3.04E-02;;
20;;105;2.10E-02;8.00E-01;3.20E-02;;
20;;106;2.12E-02;8.00E-01;3.20E-02;;
20;;107;2.14E-02;8.00E-01;3.20E-02;;
20;;108;2.16E-02;8.00E-01;3.20E-02;;
19;;109;2.18E-02;7.60E-01;3.04E-02;;
19;;110;2.20E-02;7.60E-01;3.04E-02;;
20;;111;2.22E-02;8.00E-01;3.20E-02;;
20;;112;2.24E-02;8.00E-01;3.20E-02;;
20;;113;2.26E-02;8.00E-01;3.20E-02;;
21;;114;2.28E-02;8.40E-01;3.36E-02;;
20;;115;2.30E-02;8.00E-01;3.20E-02;;
21;;116;2.32E-02;8.40E-01;3.36E-02;;
20;;117;2.34E-02;8.00E-01;3.20E-02;;
20;;118;2.36E-02;8.00E-01;3.20E-02;;
20;;119;2.38E-02;8.00E-01;3.20E-02;;
20;;120;2.40E-02;8.00E-01;3.20E-02;;
20;;121;2.42E-02;8.00E-01;3.20E-02;;
20;;122;2.44E-02;8.00E-01;3.20E-02;;
21;;123;2.46E-02;8.40E-01;3.36E-02;;
20;;124;2.48E-02;8.00E-01;3.20E-02;;
21;;125;2.50E-02;8.40E-01;3.36E-02;;
21;;126;2.52E-02;8.40E-01;3.36E-02;;
21;;127;2.54E-02;8.40E-01;3.36E-02;;
21;;128;2.56E-02;8.40E-01;3.36E-02;;
21;;129;2.58E-02;8.40E-01;3.36E-02;;
22;;130;2.60E-02;8.80E-01;3.52E-02;;
21;;131;2.62E-02;8.40E-01;3.36E-02;;
21;;132;2.64E-02;8.40E-01;3.36E-02;;
22;;133;2.66E-02;8.80E-01;3.52E-02;;
22;;134;2.68E-02;8.80E-01;3.52E-02;;
21;;135;2.70E-02;8.40E-01;3.36E-02;;
21;;136;2.72E-02;8.40E-01;3.36E-02;;
22;;137;2.74E-02;8.80E-01;3.52E-02;;
22;;138;2.76E-02;8.80E-01;3.52E-02;;
